BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -8:50,,1.0,Astana,27:48 27:48,0,2007,
,,+ -8:50,,2.0,CSC ProTeam,0:02 0:02,0,2007,
,,+ -8:50,,3.0,Discovery Channel,0:05 0:05,0,2007,
,,+ -8:50,,4.0,Caisse d'Epargne,0:18 0:18,0,2007,
,,+ -8:50,,5.0,"Cofidis, le Crédit par Téléphone",0:20 0:20,0,2007,
,,+ -8:50,,6.0,T-Mobile Team,0:45 0:45,0,2007,
,,+ -8:50,,7.0,Rabobank ProTeam,0:47 0:47,0,2007,
,,+ -8:50,,8.0,Française des Jeux,0:48 0:48,0,2007,
,,+ -8:50,,9.0,Liquigas,0:52 0:52,0,2007,
,,+ -8:50,,10.0,Gerolsteiner,0:54 0:54,0,2007,
,,+ -8:50,,11.0,Quickstep - Innergetic,",, 0:54",0,2007,
,,+ -8:50,,12.0,Crédit Agricole,",, 0:54",0,2007,
,,+ -8:50,,13.0,Euskaltel - Euskadi,0:57 0:57,0,2007,
,,+ -8:50,,14.0,Milram,1:01 1:01,0,2007,
,,+ -8:50,,15.0,Predictor - Lotto,",, 1:01",0,2007,
,,+ -8:50,,16.0,Bouygues Telecom,1:03 1:03,0,2007,
,,+ -8:50,,17.0,Lampre-Fondital,1:10 1:10,0,2007,
,,+ -8:50,,18.0,Saunier Duval,",, 1:10",0,2007,
,,+ -8:50,,19.0,Barloworld,1:23 1:23,0,2007,
,,+ -8:50,,20.0,Agritubel,1:25 1:25,0,2007,
,,+ -8:50,,21.0,AG2R Prévoyance,",, 1:25",0,2007,
,,+ -4:47:51,1.0,1.0,Astana,14:24:51 14:24:51,1,2007,-
,,+ -4:47:51,2.0,2.0,CSC ProTeam,0:02 0:02,1,2007,-
,,+ -4:47:51,3.0,3.0,Discovery Channel,0:05 0:05,1,2007,-
,,+ -4:47:51,4.0,4.0,Caisse d'Epargne,0:18 0:18,1,2007,-
,,+ -4:47:51,5.0,5.0,"Cofidis, le Crédit par Téléphone",0:20 0:20,1,2007,-
,,+ -4:47:51,6.0,6.0,T-Mobile Team,0:45 0:45,1,2007,-
,,+ -4:47:51,7.0,7.0,Rabobank ProTeam,0:47 0:47,1,2007,-
