Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
30,45.985,1.0,1*,+9:08,,,Armstrong Lance,1*,US Postal Service,9:08 9:08,,,0,2002
33,45.902,51.0,2,+9:09,70.0,,Jalabert Laurent,2,CSC ProTeam - Tiscali,9:09 9:09,,,0,2002
30,45.735,158.0,3,+9:11,50.0,,Rumsas Raimondas,3,Lampre - Daikin,9:11 9:11,,,0,2002
29,45.735,32.0,4,+9:11,40.0,,Botero Santiago,4,Kelme - Costa Blanca,",, 9:11",,,0,2002
25,45.652,47.0,5,+9:12,32.0,,Millar David,5,Cofidis,9:12 9:12,,,0,2002
34,45.486999999999995,204.0,6,+9:14,26.0,,Brochard Laurent,6,Jean Delatour,9:14 9:14,,,0,2002
28,45.324,171.0,7,+9:16,22.0,,Frigo Dario,7,Tacconi Sport,9:16 9:16,,,0,2002
28,45.242,24.0,8,+9:17,18.0,,Gonzalez De Galdeano Igor,8,O.N.C.E. - Eroski,9:17 9:17,,,0,2002
28,45.0,21.0,9,+9:20,14.0,,Beloki Joseba,9,O.N.C.E. - Eroski,9:20 9:20,,,0,2002
25,45.0,122.0,10,+9:20,10.0,,Bodrogi Laszlo,10,Mapei - Quickstep,",, 9:20",,,0,2002
26,45.0,97.0,11,+9:20,8.0,,McGee Bradley,11,La Fran\xe7aise des Jeux,",, 9:20",,,0,2002
26,44.92,137.0,12,+9:21,6.0,,Mancebo Francisco,12,Ibanesto.com,9:21 9:21,,,0,2002
28,44.84,37.0,13,+9:22,4.0,,Tauler Toni,13,Kelme - Costa Blanca,9:22 9:22,,,0,2002
33,44.84,43.0,14,+9:22,2.0,,Cuesta \xcd\xf1igo,14,Cofidis,",, 9:22",,,0,2002
32,44.84,85.0,15,+9:22,1.0,,Honchar Serhiy,15,Fassa Bortolo,",, 9:22",,,0,2002
31,44.76,52.0,16,+9:23,,,Hamilton Tyler,16,CSC ProTeam - Tiscali,9:23 9:23,,,0,2002
30,44.681000000000004,53.0,17,+9:24,,,Peron Andrea,17,CSC ProTeam - Tiscali,9:24 9:24,,,0,2002
28,44.681000000000004,101.0,18*,+9:24,,,Leipheimer Levi,18*,Rabobank ProTeam,",, 9:24",,,0,2002
23,44.681000000000004,153.0,19,+9:24,,,Bertogliati Rubens,19,Lampre - Daikin,",, 9:24",,,0,2002
27,44.602,48.0,20,+9:25,,,Moncouti\xe9 David,20,Cofidis,9:25 9:25,,,0,2002
28,44.602,3.0,21,+9:25,,,Heras Roberto,21,US Postal Service,",, 9:25",,,0,2002
27,44.602,142.0,22,+9:25,,,Aerts Mario,22,Lotto - Adecco,",, 9:25",,,0,2002
32,44.602,71.0,23,+9:25,,,Virenque Richard,23,Domo - Farm Frites,",, 9:25",,,0,2002
27,44.523,141.0,24,+9:26,,,Verbrugghe Rik,24,Lotto - Adecco,9:26 9:26,,,0,2002
36,44.523,2.0,25,+9:26,,,Ekimov Viatcheslav,25,US Postal Service,",, 9:26",,,0,2002
33,44.443999999999996,33.0,26,+9:27,,,Cabello Francisco,26,Kelme - Costa Blanca,9:27 9:27,,,0,2002
24,44.443999999999996,81.0,27,+9:27,,,Basso Ivan,27,Fassa Bortolo,",, 9:27",,,0,2002
