Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
30,45.232,,+0:00,50.0,Cancellara Fabian,1,Leopard Trek,9:41 9:41,6.0,0,2011
22,44.542,,+0:00,30.0,van Garderen Tejay,2,HTC - High Road,0:09 0:09,4.0,0,2011
21,43.946000000000005,,+0:00,18.0,Sagan Peter,3,Liquigas - Cannondale,0:17 0:17,2.0,0,2011
30,43.946000000000005,,+0:00,13.0,Larsson Gustav,4,Saxo Bank - Sungard,",, 0:17",1.0,0,2011
35,43.873000000000005,,+0:00,10.0,Kl\xf6den Andr\xe9as,5,RadioShack,0:18 0:18,1.0,0,2011
33,43.727,,+0:00,7.0,Danielson Thomas,6,Team Garmin - Cerv\xe9lo,0:20 0:20,,0,2011
26,43.653999999999996,,+0:00,4.0,Velits Peter,7,HTC - High Road,0:21 0:21,,0,2011
24,43.582,,+0:00,3.0,Mollema Bauke,8,Rabobank Cycling Team,0:22 0:22,,0,2011
37,43.582,,+0:00,2.0,Leipheimer Levi,9,RadioShack,",, 0:22",,0,2011
28,43.582,,+0:00,1.0,Gerdemann Linus,10,Leopard Trek,",, 0:22",,0,2011
26,43.438,,+0:00,,Froome Christopher,11,Sky Procycling,0:24 0:24,,0,2011
29,43.438,,+0:00,,Gasparotto Enrico,12,Pro Team Astana,",, 0:24",,0,2011
28,43.295,,+0:00,,Monfort Maxime,13,Leopard Trek,0:26 0:26,,0,2011
24,43.224,,+0:00,,Boaro Manuele,14,Saxo Bank - Sungard,0:27 0:27,,0,2011
23,43.224,,+0:00,,Izagirre Gorka,15,Euskaltel - Euskadi,",, 0:27",,0,2011
23,43.153,,+0:00,,Poels Wout,16,Vacansoleil - DCM,0:28 0:28,,0,2011
29,43.153,,+0:00,,Cunego Damiano,17,Lampre - ISD,",, 0:28",,0,2011
28,43.153,,+0:00,,Soler Juan Mauricio,18,Movistar Team,",, 0:28",,0,2011
27,43.082,,+0:00,,Devenyns Dries,19,Quickstep Cycling Team,0:29 0:29,,0,2011
26,43.082,,+0:00,,Fuglsang Jakob,20,Leopard Trek,",, 0:29",,0,2011
32,43.082,,+0:00,,Elmiger Martin,21,AG2R La Mondiale,",, 0:29",,0,2011
32,43.011,,+0:00,,Guti\xe9rrez Jos\xe9 Iv\xe1n,22,Movistar Team,0:30 0:30,,0,2011
26,43.011,,+0:00,,Samoilau Branislau,23,Movistar Team,",, 0:30",,0,2011
24,42.941,,+0:00,,Frank Mathias,24,BMC Racing Team,0:31 0:31,,0,2011
33,42.941,,+0:00,,Hushovd Thor,25,Team Garmin - Cerv\xe9lo,",, 0:31",,0,2011
26,42.871,,+0:00,,Bodnar Maciej,26,Liquigas - Cannondale,0:32 0:32,,0,2011
27,42.871,,+0:00,,Marcato Marco,27,Vacansoleil - DCM,",, 0:32",,0,2011
30,42.871,,+0:00,,Veikkanen Jussi,28,Omega Pharma-Lotto,",, 0:32",,0,2011
33,42.801,,+0:00,,Nocentini Rinaldo,29,AG2R La Mondiale,0:33 0:33,,0,2011
