Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
24.0,182.0,2.0,+0:08,8.0,Alaphilippe Julian,1.0,Etixx - Quick Step,8:34:50 8:34:50,2,2016,▲7
24.0,111.0,4.0,+0:14,7.0,Barguil Warren,2.0,Team Giant - Alpecin,0:06 0:06,2,2016,▲5
25.0,51.0,15.0,+0:14,13.0,Kelderman Wilco,3.0,Team LottoNL-Jumbo,",, 0:06",2,2016,▲10
23.0,209.0,21.0,+0:14,15.0,Yates Adam,4.0,ORICA-BikeExchange,",, 0:06",2,2016,▲11
24.0,157.0,32.0,+0:25,20.0,Meintjes Louis,5.0,Lampre - Merida,0:17 0:17,2,2016,▲15
24.0,83.0,35.0,+0:31,11.0,Craddock Lawson,6.0,Cannondale-Drapac Pro Cycling Team,0:23 0:23,2,2016,▲5
25.0,211.0,38.0,+0:31,14.0,Sepúlveda Eduardo,7.0,Fortuneo - Vital Concept,",, 0:23",2,2016,▲7
23.0,131.0,39.0,+0:31,16.0,Buchmann Emanuel,8.0,Bora - Argon 18,",, 0:23",2,2016,▲8
24.0,137.0,42.0,+0:31,19.0,Konrad Patrick,9.0,Bora - Argon 18,",, 0:23",2,2016,▲10
24.0,159.0,51.0,+0:49,23.0,Polanc Jan,10.0,Lampre - Merida,0:41 0:41,2,2016,▲13
24.0,67.0,66.0,+1:11,6.0,Stuyven Jasper,11.0,Trek - Segafredo,1:03 1:03,2,2016,▼5
24.0,171.0,67.0,+1:21,3.0,Coquard Bryan,12.0,Direct Energie,1:13 1:13,2,2016,▼9
22.0,75.0,72.0,+1:36,5.0,Enger Sondre Holst,13.0,IAM Cycling,1:28 1:28,2,2016,▼8
25.0,68.0,76.0,+1:53,1.0,Theuns Edward,14.0,Trek - Segafredo,1:45 1:45,2,2016,▼13
22.0,158.0,79.0,+1:53,17.0,Pibernik Luka,15.0,Lampre - Merida,",, 1:45",2,2016,▲2
23.0,196.0,90.0,+3:06,2.0,Laporte Christophe,16.0,"Cofidis, Solutions Crédits",2:58 2:58,2,2016,▼14
24.0,39.0,96.0,+3:06,10.0,Valgren Michael,17.0,Tinkoff,",, 2:58",2,2016,▼7
23.0,188.0,107.0,+3:44,24.0,Vakoč Petr,18.0,Etixx - Quick Step,3:36 3:36,2,2016,▲6
25.0,203.0,110.0,+4:05,21.0,Durbridge Luke,19.0,ORICA-BikeExchange,3:57 3:57,2,2016,▲2
24.0,216.0,138.0,+7:05,4.0,McLay Daniel,20.0,Fortuneo - Vital Concept,6:57 6:57,2,2016,▼16
24.0,173.0,145.0,+7:05,12.0,Duchesne Antoine,21.0,Direct Energie,",, 6:57",2,2016,▼9
25.0,143.0,161.0,+7:05,26.0,Haller Marco,22.0,Team Katusha,",, 6:57",2,2016,▲4
23.0,53.0,165.0,+8:29,9.0,Groenewegen Dylan,23.0,Team LottoNL-Jumbo,8:21 8:21,2,2016,▼14
23.0,47.0,171.0,+8:29,18.0,Gougeard Alexis,24.0,AG2R La Mondiale,",, 8:21",2,2016,▼6
25.0,102.0,176.0,+8:29,22.0,Berhane Natnael,25.0,Team Dimension Data,",, 8:21",2,2016,▼3
23.0,26.0,178.0,+8:29,25.0,Lutsenko Alexey,26.0,Astana Pro Team,",, 8:21",2,2016,▼1
24.0,156.0,184.0,+8:38,28.0,Grmay Tsgabu,27.0,Lampre - Merida,8:30 8:30,2,2016,▲1
24.0,89.0,190.0,+10:02,27.0,van Baarle Dylan,28.0,Cannondale-Drapac Pro Cycling Team,9:54 9:54,2,2016,▼1
23.0,56.0,194.0,+11:38,29.0,Roosen Timo,29.0,Team LottoNL-Jumbo,11:30 11:30,2,2016,-
24.0,182.0,2.0,+0:08,1.0,Alaphilippe Julian,1.0,Etixx - Quick Step,14:34:44 14:34:44,3,2016,-
24.0,111.0,5.0,+0:14,2.0,Barguil Warren,2.0,Team Giant - Alpecin,0:06 0:06,3,2016,-
25.0,51.0,14.0,+0:14,3.0,Kelderman Wilco,3.0,Team LottoNL-Jumbo,",, 0:06",3,2016,-
23.0,209.0,18.0,+0:14,4.0,Yates Adam,4.0,ORICA-BikeExchange,",, 0:06",3,2016,-
24.0,157.0,32.0,+0:25,5.0,Meintjes Louis,5.0,Lampre - Merida,0:17 0:17,3,2016,-
24.0,83.0,35.0,+0:31,6.0,Craddock Lawson,6.0,Cannondale-Drapac Pro Cycling Team,0:23 0:23,3,2016,-
25.0,211.0,37.0,+0:31,7.0,Sepúlveda Eduardo,7.0,Fortuneo - Vital Concept,",, 0:23",3,2016,-
23.0,131.0,39.0,+0:31,8.0,Buchmann Emanuel,8.0,Bora - Argon 18,",, 0:23",3,2016,-
24.0,137.0,40.0,+0:31,9.0,Konrad Patrick,9.0,Bora - Argon 18,",, 0:23",3,2016,-
24.0,159.0,48.0,+0:49,10.0,Polanc Jan,10.0,Lampre - Merida,0:41 0:41,3,2016,-
24.0,67.0,61.0,+1:11,11.0,Stuyven Jasper,11.0,Trek - Segafredo,1:03 1:03,3,2016,-
24.0,171.0,62.0,+1:17,12.0,Coquard Bryan,12.0,Direct Energie,1:09 1:09,3,2016,-
22.0,75.0,68.0,+1:36,13.0,Enger Sondre Holst,13.0,IAM Cycling,1:28 1:28,3,2016,-
25.0,68.0,73.0,+1:53,14.0,Theuns Edward,14.0,Trek - Segafredo,1:45 1:45,3,2016,-
22.0,158.0,75.0,+1:53,15.0,Pibernik Luka,15.0,Lampre - Merida,",, 1:45",3,2016,-
23.0,196.0,89.0,+3:06,16.0,Laporte Christophe,16.0,"Cofidis, Solutions Crédits",2:58 2:58,3,2016,-
24.0,39.0,91.0,+3:06,17.0,Valgren Michael,17.0,Tinkoff,",, 2:58",3,2016,-
25.0,203.0,123.0,+6:08,19.0,Durbridge Luke,18.0,ORICA-BikeExchange,6:00 6:00,3,2016,▲1
24.0,216.0,131.0,+7:05,20.0,McLay Daniel,19.0,Fortuneo - Vital Concept,6:57 6:57,3,2016,▲1
24.0,173.0,141.0,+7:05,21.0,Duchesne Antoine,20.0,Direct Energie,",, 6:57",3,2016,▲1
23.0,188.0,145.0,+7:15,18.0,Vakoč Petr,21.0,Etixx - Quick Step,7:07 7:07,3,2016,▼3
23.0,53.0,158.0,+8:29,23.0,Groenewegen Dylan,22.0,Team LottoNL-Jumbo,8:21 8:21,3,2016,▲1
23.0,47.0,164.0,+8:29,24.0,Gougeard Alexis,23.0,AG2R La Mondiale,",, 8:21",3,2016,▲1
23.0,26.0,165.0,+8:29,26.0,Lutsenko Alexey,24.0,Astana Pro Team,",, 8:21",3,2016,▲2
25.0,102.0,166.0,+8:29,25.0,Berhane Natnael,25.0,Team Dimension Data,",, 8:21",3,2016,-
25.0,143.0,176.0,+9:13,22.0,Haller Marco,26.0,Team Katusha,9:04 9:04,3,2016,▼4
24.0,156.0,178.0,+9:22,27.0,Grmay Tsgabu,27.0,Lampre - Merida,9:14 9:14,3,2016,-
23.0,56.0,190.0,+11:38,29.0,Roosen Timo,28.0,Team LottoNL-Jumbo,11:30 11:30,3,2016,▲1
24.0,89.0,191.0,+11:51,28.0,van Baarle Dylan,29.0,Cannondale-Drapac Pro Cycling Team,11:43 11:43,3,2016,▼1
24.0,182.0,2.0,+0:12,1.0,Alaphilippe Julian,1.0,Etixx - Quick Step,20:03:14 20:03:14,4,2016,-
24.0,111.0,4.0,+0:18,2.0,Barguil Warren,2.0,Team Giant - Alpecin,0:06 0:06,4,2016,-
25.0,51.0,14.0,+0:18,3.0,Kelderman Wilco,3.0,Team LottoNL-Jumbo,",, 0:06",4,2016,-
23.0,209.0,19.0,+0:18,4.0,Yates Adam,4.0,ORICA-BikeExchange,",, 0:06",4,2016,-
24.0,157.0,30.0,+0:29,5.0,Meintjes Louis,5.0,Lampre - Merida,0:17 0:17,4,2016,-
24.0,83.0,35.0,+0:35,6.0,Craddock Lawson,6.0,Cannondale-Drapac Pro Cycling Team,0:23 0:23,4,2016,-
25.0,211.0,36.0,+0:35,7.0,Sepúlveda Eduardo,7.0,Fortuneo - Vital Concept,",, 0:23",4,2016,-
24.0,137.0,38.0,+0:35,9.0,Konrad Patrick,8.0,Bora - Argon 18,",, 0:23",4,2016,▲1
23.0,131.0,39.0,+0:35,8.0,Buchmann Emanuel,9.0,Bora - Argon 18,",, 0:23",4,2016,▼1
24.0,159.0,47.0,+0:53,10.0,Polanc Jan,10.0,Lampre - Merida,0:41 0:41,4,2016,-
24.0,171.0,56.0,+1:15,12.0,Coquard Bryan,11.0,Direct Energie,1:03 1:03,4,2016,▲1
24.0,67.0,60.0,+1:36,11.0,Stuyven Jasper,12.0,Trek - Segafredo,1:24 1:24,4,2016,▼1
22.0,75.0,63.0,+1:40,13.0,Enger Sondre Holst,13.0,IAM Cycling,1:28 1:28,4,2016,-
25.0,68.0,67.0,+1:57,14.0,Theuns Edward,14.0,Trek - Segafredo,1:45 1:45,4,2016,-
22.0,158.0,68.0,+1:57,15.0,Pibernik Luka,15.0,Lampre - Merida,",, 1:45",4,2016,-
23.0,196.0,88.0,+3:31,16.0,Laporte Christophe,16.0,"Cofidis, Solutions Crédits",3:19 3:19,4,2016,-
24.0,39.0,104.0,+5:20,17.0,Valgren Michael,17.0,Tinkoff,5:08 5:08,4,2016,-
24.0,216.0,121.0,+7:09,19.0,McLay Daniel,18.0,Fortuneo - Vital Concept,6:57 6:57,4,2016,▲1
24.0,173.0,126.0,+7:09,20.0,Duchesne Antoine,19.0,Direct Energie,",, 6:57",4,2016,▲1
25.0,203.0,130.0,+7:45,18.0,Durbridge Luke,20.0,ORICA-BikeExchange,7:33 7:33,4,2016,▼2
23.0,53.0,137.0,+8:33,22.0,Groenewegen Dylan,21.0,Team LottoNL-Jumbo,8:21 8:21,4,2016,▲1
24.0,156.0,148.0,+9:26,27.0,Grmay Tsgabu,22.0,Lampre - Merida,9:14 9:14,4,2016,▲5
23.0,188.0,150.0,+9:29,21.0,Vakoč Petr,23.0,Etixx - Quick Step,9:17 9:17,4,2016,▼2
23.0,56.0,168.0,+11:42,28.0,Roosen Timo,24.0,Team LottoNL-Jumbo,11:30 11:30,4,2016,▲4
25.0,143.0,174.0,+14:11,26.0,Haller Marco,25.0,Team Katusha,13:59 13:59,4,2016,▲1
23.0,26.0,181.0,+15:01,24.0,Lutsenko Alexey,26.0,Astana Pro Team,14:49 14:49,4,2016,▼2
24.0,89.0,182.0,+15:09,29.0,van Baarle Dylan,27.0,Cannondale-Drapac Pro Cycling Team,14:57 14:57,4,2016,▲2
23.0,47.0,192.0,+17:32,23.0,Gougeard Alexis,28.0,AG2R La Mondiale,17:20 17:20,4,2016,▼5
25.0,102.0,193.0,+17:32,25.0,Berhane Natnael,29.0,Team Dimension Data,",, 17:20",4,2016,▼4
24.0,182.0,2.0,+5:11,1.0,Alaphilippe Julian,1.0,Etixx - Quick Step,25:39:57 25:39:57,5,2016,-
24.0,111.0,6.0,+5:17,2.0,Barguil Warren,2.0,Team Giant - Alpecin,0:06 0:06,5,2016,-
25.0,51.0,11.0,+5:17,3.0,Kelderman Wilco,3.0,Team LottoNL-Jumbo,",, 0:06",5,2016,-
23.0,209.0,13.0,+5:17,4.0,Yates Adam,4.0,ORICA-BikeExchange,",, 0:06",5,2016,-
24.0,157.0,19.0,+5:28,5.0,Meintjes Louis,5.0,Lampre - Merida,0:17 0:17,5,2016,-
25.0,211.0,30.0,+8:44,7.0,Sepúlveda Eduardo,6.0,Fortuneo - Vital Concept,3:33 3:33,5,2016,▲1
23.0,131.0,31.0,+8:44,9.0,Buchmann Emanuel,7.0,Bora - Argon 18,",, 3:33",5,2016,▲2
24.0,137.0,39.0,+10:45,8.0,Konrad Patrick,8.0,Bora - Argon 18,5:34 5:34,5,2016,-
