Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
22,47.909,1.0,+0:00,50.0,Cancellara Fabian,1,Fassa Bortolo,8:46 8:46,0,2003
25,47.818000000000005,2.0,+0:01,30.0,Pereiro Oscar,2,Phonak Hearing Systems,0:01 0:01,0,2003
27,47.727,3.0,+0:02,18.0,McGee Bradley,3,Fdjeux.com,0:02 0:02,0,2003
34,47.547,4.0,+0:04,13.0,Z\xfclle Alex,4,Team Bianchi,0:04 0:04,0,2003
32,47.458,5.0,+0:05,10.0,Dominguez Juan Carlos,5,Phonak Hearing Systems,0:05 0:05,0,2003
32,47.458,6.0,+0:05,7.0,Aus Lauri,6,AG2R Pr\xe9voyance,",, 0:05",0,2003
32,47.368,7.0,+0:06,4.0,Steinhauser Tobias,7,Team Bianchi,0:06 0:06,0,2003
23,47.28,8.0,+0:07,3.0,Lang Sebastian,8,Gerolsteiner,0:07 0:07,0,2003
29,47.015,9.0,+0:10,2.0,Vinokourov Alexandre,9,Team Telekom,0:10 0:10,0,2003
33,46.927,10.0,+0:11,1.0,Guerini Giuseppe,10,Team Telekom,0:11 0:11,0,2003
23,46.927,,+ -8:46,,Hiekmann Torsten,11,Team Telekom,",, 0:11",0,2003
34,46.927,,+ -8:46,,Peschel Uwe,12,Gerolsteiner,",, 0:11",0,2003
29,46.927,,+ -8:46,,Ullrich Jan,13,Team Bianchi,",, 0:11",0,2003
22,46.84,,+ -8:46,,Sinkewitz Patrik,14,Quickstep - Davitamon,0:12 0:12,0,2003
22,46.84,,+ -8:46,,van Goolen Jurgen,15,Quickstep - Davitamon,",, 0:12",0,2003
24,46.753,,+ -8:46,,Bertogliati Rubens,16,Lampre,0:13 0:13,0,2003
29,46.753,,+ -8:46,,O'Grady Stuart,17,Cr\xe9dit Agricole,",, 0:13",0,2003
31,46.667,,+ -8:46,,Julich Bobby,18,Team Telekom,0:14 0:14,0,2003
31,46.58,,+ -8:46,,Camenzind Oscar,19,Phonak Hearing Systems,0:15 0:15,0,2003
29,46.58,,+ -8:46,,Bettini Paolo,20,Quickstep - Davitamon,",, 0:15",0,2003
24,46.494,,+ -8:46,,Kirchen Kim,21,Fassa Bortolo,0:16 0:16,0,2003
29,46.494,,+ -8:46,,Frigo Dario,22,Fassa Bortolo,",, 0:16",0,2003
26,46.494,,+ -8:46,,Valjavec Tadej,23,Fassa Bortolo,",, 0:16",0,2003
25,46.494,,+ -8:46,,Hoste Leif,24,Lotto - Domo,",, 0:16",0,2003
30,46.494,,+ -8:46,,Nardello Daniele,25,Team Telekom,",, 0:16",0,2003
27,46.409,,+ -8:46,,Sosenka Ond\u0159ej,26,,0:17 0:17,0,2003
24,46.409,,+ -8:46,,Cooke Baden,27,Fdjeux.com,",, 0:17",0,2003
33,46.324,,+ -8:46,,Rich Michael,28,Gerolsteiner,0:18 0:18,0,2003
24,46.153999999999996,,+ -8:46,,Fritsch Nicolas,29,Fdjeux.com,0:20 0:20,0,2003
