Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year,▼▲
27,42,48.0,+0:00,,,Bakelants Jan,48,RadioShack - Leopard,",, ,,",+0:00,,1,2013,
28,199,49.0,+0:00,,,Veelers Tom,49,Team Argos - Shimano,",, ,,",+0:00,,1,2013,
27,196,50.0,+0:00,,,Geschke Simon,50,Team Argos - Shimano,",, ,,",+0:00,,1,2013,
29,216,51.0,+0:00,,,Marino Jean-Marc,51,Sojasun,",, ,,",+0:00,,1,2013,
25,207,52.0,+0:00,,,van Poppel Boy,52,Vacansoleil - DCM,",, ,,",+0:00,,1,2013,
30,193,53.0,+0:00,,,de Kort Koen,53,Team Argos - Shimano,",, ,,",+0:00,,1,2013,
22,194,54.0,+0:00,,,Dumoulin Tom,54,Team Argos - Shimano,",, ,,",+0:00,,1,2013,
34,74,55.0,+0:00,,,Fédrigo Pierrick,55,FDJ.fr,",, ,,",+0:00,,1,2013,
25,119,56.0,+0:00,,,Sicard Romain,56,Euskaltel - Euskadi,",, ,,",+0:00,,1,2013,
23,71,57.0,+0:00,,,Pinot Thibaut,57,FDJ.fr,",, ,,",+0:00,,1,2013,
28,151,58.0,+0:00,,,Cavendish Mark,58,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2013,
33,112,59.0,+0:00,,,Astarloza Mikel,59,Euskaltel - Euskadi,",, ,,",+0:00,,1,2013,
31,64,60.0,+0:00,,,Gasparotto Enrico,60,Astana Pro Team,",, ,,",+0:00,,1,2013,
32,5,61.0,+0:00,,,López David,61,Sky Procycling,",, ,,",+0:00,,1,2013,
24,3,62.0,+0:00,,,Kennaugh Peter,62,Sky Procycling,",, ,,",+0:00,,1,2013,
32,4,63.0,+0:00,,,Kiryienka Vasil,63,Sky Procycling,",, ,,",+0:00,,1,2013,
29,33,64.0,+0:00,,,Burghardt Marcus,64,BMC Racing Team,",, ,,",+0:00,,1,2013,
25,113,65.0,+0:00,,,Izagirre Gorka,65,Euskaltel - Euskadi,",, ,,",+0:00,,1,2013,
33,186,66.0,+0:00,,,Lancaster Brett,66,Orica GreenEDGE,",, ,,",+0:00,,1,2013,
36,49,67.0,+0:00,,,Zubeldia Haimar,67,RadioShack - Leopard,",, ,,",+0:00,,1,2013,
30,7,68.0,+0:00,,,Siutsou Kanstantsin,68,Sky Procycling,",, ,,",+0:00,,1,2013,
27,77,69.0,+0:00,,,Jeannesson Arnold,69,FDJ.fr,",, ,,",+0:00,,1,2013,
33,148,70.0,+0:00,,,Niemiec Przemysław,70,Lampre - Merida,",, ,,",+0:00,,1,2013,
30,109,71.0,+0:00,,,Vorganov Eduard,71,Team Katusha,",, ,,",+0:00,,1,2013,
32,117,72.0,+0:00,,,Oroz Juan José,72,Euskaltel - Euskadi,",, ,,",+0:00,,1,2013,
30,111,73.0,+0:00,,,Antón Igor,73,Euskaltel - Euskadi,",, ,,",+0:00,,1,2013,
23,138,74.0,+0:00,,,Molard Rudy,74,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2013,
32,25,75.0,+0:00,,,Hansen Adam,75,Lotto Belisol Team,",, ,,",+0:00,,1,2013,
30,47,76.0,+0:00,,,Monfort Maxime,76,RadioShack - Leopard,",, ,,",+0:00,,1,2013,
26,131,77.0,+0:00,,,Taaramäe Rein,77,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2013,
28,43,78.0,+0:00,,,Didier Laurent,78,RadioShack - Leopard,",, ,,",+0:00,,1,2013,
28,41,79.0,+0:00,,,Schleck Andy,79,RadioShack - Leopard,",, ,,",+0:00,,1,2013,
25,54,80.0,+0:00,,,Gautier Cyril,80,Team Europcar,",, ,,",+0:00,,1,2013,
24,114,81.0,+0:00,,,Izagirre Ion,81,Euskaltel - Euskadi,",, ,,",+0:00,,1,2013,
26,51,82.0,+0:00,,,Rolland Pierre,82,Team Europcar,",, ,,",+0:00,,1,2013,
25,219,83.0,+0:00,,,Vuillermoz Alexis,83,Sojasun,",, ,,",+0:00,,1,2013,
25,58,84.0,+0:00,,,Veilleux David,84,Team Europcar,",, ,,",+0:00,,1,2013,
25,201,85.0,+0:00,,,Poels Wout,85,Vacansoleil - DCM,",, ,,",+0:00,,1,2013,
23,212,86.0,+0:00,,,Delaplace Anthony,86,Sojasun,",, ,,",+0:00,,1,2013,
34,149,87.0,+0:00,,,Serpa José Rodolfo,87,Lampre - Merida,",, ,,",+0:00,,1,2013,
22,73,88.0,+0:00,,,Bouhanni Nacer,88,FDJ.fr,",, ,,",+0:00,,1,2013,
29,116,89.0,+0:00,,,Nieve Mikel,89,Euskaltel - Euskadi,",, ,,",+0:00,,1,2013,
33,37,90.0,+0:00,,,Quinziato Manuel,90,BMC Racing Team,",, ,,",+0:00,,1,2013,
32,171,91.0,+0:00,,,Hesjedal Ryder,91,Garmin Sharp,",, ,,",+0:00,,1,2013,
25,76,92.0,+0:00,,,Geniez Alexandre,92,FDJ.fr,",, ,,",+0:00,,1,2013,
26,175,93.0,+0:00,,,Martin Dan,93,Garmin Sharp,",, ,,",+0:00,,1,2013,
29,165,94.0,+0:00,,,Nordhaug Lars Petter,94,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2013,
34,95,95.0,+0:00,,,Noval Benjamin,95,Team Saxo - Tinkoff,",, ,,",+0:00,,1,2013,
32,167,96.0,+0:00,,,ten Dam Laurens,96,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2013,
30,209,97.0,+0:00,,,Westra Lieuwe,97,Vacansoleil - DCM,",, ,,",+0:00,,1,2013,
28,52,98.0,+0:00,,,Arashiro Yukiya,98,Team Europcar,",, ,,",+0:00,,1,2013,
33,104,99.0,+0:00,,,Kuschynski Aleksandr,99,Team Katusha,",, ,,",+0:00,,1,2013,
34,59,100.0,+0:00,,,Voeckler Thomas,100,Team Europcar,",, ,,",+0:00,,1,2013,
27,162,101.0,+0:00,,,Gesink Robert,101,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2013,
32,55,102.0,+0:00,,,Gène Yohann,102,Team Europcar,",, ,,",+0:00,,1,2013,
26,203,103.0,+0:00,,,De Gendt Thomas,103,Vacansoleil - DCM,",, ,,",+0:00,,1,2013,
24,79,104.0,+0:00,,,Vichot Arthur,104,FDJ.fr,",, ,,",+0:00,,1,2013,
25,57,105.0,+0:00,,,Reza Kévin,105,Team Europcar,",, ,,",+0:00,,1,2013,
26,87,106.0,+0:00,,,Kadri Blel,106,AG2R La Mondiale,",, ,,",+0:00,,1,2013,
34,86,107.0,+0:00,,,Gadret John,107,AG2R La Mondiale,",, ,,",+0:00,,1,2013,
24,191,108.0,+0:00,,,Degenkolb John,108,Team Argos - Shimano,",, ,,",+0:00,,1,2013,
31,72,109.0,+0:00,,,Bonnet William,109,FDJ.fr,",, ,,",+0:00,,1,2013,
24,178,110.0,+0:00,,,Talansky Andrew,110,Garmin Sharp,",, ,,",+0:00,,1,2013,
35,173,111.0,+0:00,,,Danielson Tom,111,Garmin Sharp,",, ,,",+0:00,,1,2013,
27,161,112.0,+0:00,,,Boom Lars,112,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2013,
26,83,113.0,+0:00,,,Bouet Maxime,113,AG2R La Mondiale,",, ,,",+0:00,,1,2013,
33,98,114.0,+0:00,,,Rogers Michael,114,Team Saxo - Tinkoff,",, ,,",+0:00,,1,2013,
30,215,115.0,+0:00,,,Lemoine Cyril,115,Sojasun,",, ,,",+0:00,,1,2013,
32,217,116.0,+0:00,,,Méderel Maxime,116,Sojasun,",, ,,",+0:00,,1,2013,
33,192,117.0,+0:00,,,Curvers Roy,117,Team Argos - Shimano,",, ,,",+0:00,,1,2013,
26,122,118.0,+0:00,,,Amador Andrey,118,Movistar Team,",, ,,",+0:00,,1,2013,
29,108,119.0,+0:00,,,Trofimov Yuri,119,Team Katusha,",, ,,",+0:00,,1,2013,
41,48,120.0,+0:00,,,Voigt Jens,120,RadioShack - Leopard,",, ,,",+0:00,,1,2013,
25,132,121.0,+0:00,,,Bagot Yoann,121,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2013,
35,204,122.0,+0:00,,,Flecha Juan Antonio,122,Vacansoleil - DCM,",, ,,",+0:00,,1,2013,
27,163,123.0,+0:00,,,Leezer Tom,123,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2013,
