Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
22.0,,1.0,+0:00,30.0,Sagan Peter,1,Liquigas - Cannondale,4:42:35 4:42:35,20.0,1,2012
28.0,,2.0,+0:04,18.0,Haussler Heinrich,2,Team Garmin - Barracuda,",, ,,",14.0,1,2012
38.0,,4.0,+0:06,12.0,Rodriguez Fred,3,Team Exergy,",, ,,",8.0,1,2012
22.0,,7.0,+0:10,7.0,Howard Leigh,4,Orica GreenEDGE,",, ,,",7.0,1,2012
26.0,,8.0,+0:10,4.0,Van Avermaet Greg,5,BMC Racing Team,",, ,,",6.0,1,2012
38.0,,9.0,+0:10,3.0,Hincapie George,6,BMC Racing Team,",, ,,",5.0,1,2012
24.0,,10.0,+0:10,2.0,Anderson Ryan,7,Spidertech Powered by C10,",, ,,",4.0,1,2012
28.0,,11.0,+0:10,1.0,Vandenbergh Stijn,8,Omega Pharma - Quick-Step,",, ,,",2.0,1,2012
20.0,,12.0,+0:10,,Craddock Lawson,9,Bontrager Livestrong Team,",, ,,",,1,2012
28.0,,13.0,+0:10,,Sanchez Luis Leon,10,Rabobank Cycling Team,",, ,,",,1,2012
28.0,,14.0,+0:10,,Martens Paul,11,Rabobank Cycling Team,",, ,,",,1,2012
20.0,,15.0,+0:10,,Mannion Gavin,12,Bontrager Livestrong Team,",, ,,",,1,2012
28.0,,16.0,+0:10,,Devenyns Dries,13,Omega Pharma - Quick-Step,",, ,,",,1,2012
21.0,,17.0,+0:10,,Bardet Romain,14,AG2R La Mondiale,",, ,,",,1,2012
25.0,,18.0,+0:10,,Duarte Fabio,15,Colombia - Coldeportes,",, ,,",,1,2012
24.0,,19.0,+0:10,,Meyer Cameron,16,Orica GreenEDGE,",, ,,",,1,2012
26.0,,20.0,+0:10,,Machado Tiago,17,RadioShack - Nissan,",, ,,",,1,2012
21.0,,21.0,+0:10,,Dumoulin Tom,18,Argos - Shimano,",, ,,",,1,2012
