Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
25,,197,1.0,+0:00,100.0,,Kittel Marcel,1,Team Argos - Shimano,4:56:52 4:56:52,,20.0,,1,2013
25,,103,2.0,+0:00,70.0,,Kristoff Alexander,2,Team Katusha,",, ,,",,10.0,,1,2013
19,,208,3.0,+0:00,50.0,,van Poppel Danny,3,Vacansoleil - DCM,",, ,,",,6.0,,1,2013
36,,176,4.0,+0:00,40.0,,Millar David,4,Garmin Sharp,",, ,,",,4.0,,1,2013
23,,158,5.0,+0:00,32.0,,Trentin Matteo,5,Omega Pharma - Quick-Step,",, ,,",,2.0,,1,2013
32,,84,6.0,+0:00,26.0,,Dumoulin Samuel,6,AG2R La Mondiale,",, ,,",,,,1,2013
36,,26,7.0,+0:00,22.0,,Henderson Gregory,7,Lotto Belisol Team,",, ,,",,,,1,2013
27,,27,8.0,+0:00,18.0,,Roelandts Jurgen,8,Lotto Belisol Team,",, ,,",,,,1,2013
28,,129,9.0,+0:00,14.0,,Rojas Jos\xe9 Joaqu\xedn,9,Movistar Team,",, ,,",,,,1,2013
26,,202,10.0,+0:00,10.0,,Boeckmans Kris,10,Vacansoleil - DCM,",, ,,",,,,1,2013
28,,185,11.0,+0:00,8.0,,Impey Daryl,11,Orica GreenEDGE,",, ,,",,,,1,2013
24,,168,12.0,+0:00,6.0,,Vanmarcke Sep,12,Belkin-Pro Cycling Team,",, ,,",,,,1,2013
27,,218,13.0,+0:00,4.0,,Simon Julien,13,Sojasun,",, ,,",,,,1,2013
28,,97,14.0,+0:00,2.0,,Roche Nicolas,14,Team Saxo - Tinkoff,",, ,,",,,,1,2013
33,,181,15.0,+0:00,1.0,,Gerrans Simon,15,Orica GreenEDGE,",, ,,",,,,1,2013
33,,66,16.0,+0:00,,,Kashechkin Andrey,16,Astana Pro Team,",, ,,",,,,1,2013
34,,126,17.0,+0:00,,,Guti\xe9rrez Jos\xe9 Iv\xe1n,17,Movistar Team,",, ,,",,,,1,2013
31,,118,18.0,+0:00,,,Perez Ruben,18,Euskaltel - Euskadi,",, ,,",,,,1,2013
32,,182,19.0,+0:00,,,Albasini Michael,19,Orica GreenEDGE,",, ,,",,,,1,2013
31,,169,20.0,+0:00,,,Wynants Maarten,20,Belkin-Pro Cycling Team,",, ,,",,,,1,2013
28,,214,21.0,+0:00,,,Hivert Jonathan,21,Sojasun,",, ,,",,,,1,2013
36,,81,22.0,+0:00,,,Peraud Jean-Christophe,22,AG2R La Mondiale,",, ,,",,,,1,2013
36,,31,23.0,+0:00,,,Evans Cadel,23,BMC Racing Team,",, ,,",,,,1,2013
26,,2,24.0,+0:00,,,Boasson Hagen Edvald,24,Sky Procycling,",, ,,",,,,1,2013
32,,89,25.0,+0:00,,,Riblon Christophe,25,AG2R La Mondiale,",, ,,",,,,1,2013
27,,94,26.0,+0:00,,,Kreuziger Roman,26,Team Saxo - Tinkoff,",, ,,",,,,1,2013
32,,206,27.0,+0:00,,,Lagutin Sergey,27,Vacansoleil - DCM,",, ,,",,,,1,2013
26,,38,28.0,+0:00,,,Schar Michael,28,BMC Racing Team,",, ,,",,,,1,2013
23,,153,29.0,+0:00,,,Kwiatkowski Michal,29,Omega Pharma - Quick-Step,",, ,,",,,,1,2013
22,,82,30.0,+0:00,,,Bardet Romain,30,AG2R La Mondiale,",, ,,",,,,1,2013
