Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
23,53.56100000000001,43,1,+0:00,100.0,,Cancellara Fabian,1,Fassa Bortolo,6:50 6:50,,,0,2004
32,53.301,1,2*,+0:02,,,Armstrong Lance,2*,US Postal Service,0:02 0:02,,,0,2004
25,52.536,74,3,+0:08,50.0,,Guti\xe9rrez Jos\xe9 Iv\xe1n,3,Illes Balears - Banesto,0:08 0:08,,,0,2004
28,52.411,161,4,+0:09,40.0,,McGee Bradley,4,Fdjeux.com,0:09 0:09,,,0,2004
26,52.286,57,5,+0:10,32.0,,Hushovd Thor,5,Cr\xe9dit Agricole,0:10 0:10,,,0,2004
26,52.162,27,6,+0:11,26.0,,Pereiro Oscar,6,Phonak Hearing Systems,0:11 0:11,,,0,2004
32,52.162,69,7,+0:11,22.0,,Voigt Jens,7,CSC ProTeam,",, 0:11",,,0,2004
33,52.038000000000004,51,8,+0:12,18.0,,Moreau Christophe,8,Cr\xe9dit Agricole,0:12 0:12,,,0,2004
32,52.038000000000004,64,9,+0:12,14.0,,Julich Bobby,9,CSC ProTeam,",, 0:12",,,0,2004
31,52.038000000000004,5,10*,+0:12,,,Hincapie George,10*,US Postal Service,",, 0:12",,,0,2004
30,51.792,25,11,+0:14,8.0,,Gutierrez Jose Enrique,11,Phonak Hearing Systems,0:14 0:14,,,0,2004
27,51.67100000000001,119,12,+0:15,6.0,,Vicioso \xc1ngel,12,Liberty Seguros,0:15 0:15,,,0,2004
30,51.67100000000001,151,13,+0:15,4.0,,Leipheimer Levi,13,Rabobank ProTeam,",, 0:15",,,0,2004
29,51.67100000000001,67,14,+0:15,2.0,,Sastre Carlos,14,CSC ProTeam,",, 0:15",,,0,2004
29,51.549,62,15,+0:16,1.0,,Arvesen Kurt-Asle,15,CSC ProTeam,0:16 0:16,,,0,2004
30,51.428999999999995,11,16,+0:17,,,Ullrich Jan,16,T-Mobile Team,0:17 0:17,,,0,2004
28,51.308,6,17,+0:18,,,Landis Floyd,17,US Postal Service,0:18 0:18,,,0,2004
33,51.308,21,18,+0:18,,,Hamilton Tyler,18,Phonak Hearing Systems,",, 0:18",,,0,2004
38,51.18899999999999,4,19,+0:19,,,Ekimov Viatcheslav,19,US Postal Service,0:19 0:19,,,0,2004
32,51.18899999999999,65,20,+0:19,,,Peron Andrea,20,CSC ProTeam,",, 0:19",,,0,2004
30,51.18899999999999,83,21,+0:19,,,Hondo Danilo,21,Gerolsteiner,",, 0:19",,,0,2004
35,51.18899999999999,159,22,+0:19,,,Wauters Marc,22,Rabobank ProTeam,",, 0:19",,,0,2004
30,51.18899999999999,23,23,+0:19,,,Gonzalez Santos,23,Phonak Hearing Systems,",, 0:19",,,0,2004
29,51.18899999999999,17,24,+0:19,,,Kl\xf6den Andr\xe9as,24,T-Mobile Team,",, 0:19",,,0,2004
26,51.07,72,25,+0:20,,,Becke Daniel,25,Illes Balears - Banesto,0:20 0:20,,,0,2004
26,50.951,31,26,+0:21,,,Mayo Iban,26,Euskaltel - Euskadi,0:21 0:21,,,0,2004
30,50.951,114,27,+0:21,,,Gonzalez De Galdeano Igor,27,Liberty Seguros,",, 0:21",,,0,2004
23,50.951,103,28,+0:21,,,Boonen Tom,28,Quickstep - Davitamon,",, 0:21",,,0,2004
25,50.833,7,29,+0:22,,,Noval Benjamin,29,US Postal Service,0:22 0:22,,,0,2004
23,50.833,75,30,+0:22,,,Karpets Vladimir,30,Illes Balears - Banesto,",, 0:22",,,0,2004
29,50.716,24,31,+0:23,,,Grabsch Bert,31,Phonak Hearing Systems,0:23 0:23,,,0,2004
30,50.716,91,32,+0:23,,,O'Grady Stuart,32,Cofidis,",, 0:23",,,0,2004
29,50.716,45,33,+0:23,,,Gonzalez Jimenez Aitor,33,Fassa Bortolo,",, 0:23",,,0,2004
