Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
28,46.075,33,1,+0:00,100.0,,Cancellara Fabian,1,Saxo Bank,19:32 19:32,,,1,2009
26,45.378,21,2,+0:18,70.0,,Contador Alberto,2,Astana,0:18 0:18,,,1,2009
29,45.34,58,3,+0:19,50.0,,Wiggins Bradley,3,Team Garmin - Slipstream,0:19 0:19,,,1,2009
34,45.226000000000006,23,4,+0:22,40.0,,Kl\xf6den Andr\xe9as,4,Astana,0:22 0:22,,,1,2009
32,45.188,11,5,+0:23,32.0,,Evans Cadel,5,Silence - Lotto,0:23 0:23,,,1,2009
35,44.925,24,6,+0:30,26.0,,Leipheimer Levi,6,Astana,0:30 0:30,,,1,2009
23,44.85,93,7,+0:32,22.0,,Kreuziger Roman,7,Liquigas,0:32 0:32,,,1,2009
24,44.813,76,8,+0:33,18.0,,Martin Tony,8,Team Columbia - HTC,0:33 0:33,,,1,2009
24,44.665,95,9,+0:37,14.0,,Nibali Vincenzo,9,Liquigas,0:37 0:37,,,1,2009
37,44.553999999999995,22,10,+0:40,,,Armstrong Lance,10*,Astana,0:40 0:40,,,1,2009
28,44.518,34,11,+0:41,10.0,,Larsson Gustav,10,Saxo Bank,0:41 0:41,,,1,2009
29,44.408,61,12,+0:44,,,Astarloza Mikel,12*,Euskaltel - Euskadi,0:44 0:44,,,1,2009
30,44.299,59,13,+0:47,8.0,,Zabriskie David,11,Team Garmin - Slipstream,0:47 0:47,,,1,2009
32,44.262,56,14,+0:48,6.0,,Millar David,12,Team Garmin - Slipstream,0:48 0:48,,,1,2009
22,44.153999999999996,102,15,+0:51,4.0,,Coppel J\xe9rome,13,Fran\xe7aise des Jeux,0:51 0:51,,,1,2009
30,43.974,151,16,+0:56,2.0,,Chavanel Sylvain,14,Quickstep - Innergetic,0:56 0:56,,,1,2009
33,43.938,51,17,+0:57,1.0,,Vande Velde Christian,15,Team Garmin - Slipstream,0:57 0:57,,,1,2009
24,43.831,31,18,+1:00,,,Schleck Andy,16,Saxo Bank,1:00 1:00,,,1,2009
26,43.725,181,19,+1:03,,,Gerdemann Linus,17,Milram,1:03 1:03,,,1,2009
27,43.653999999999996,129,20,+1:05,,,Pauriol R\xe9mi,18,"Cofidis, Solutions Cr\xe9dits",1:05 1:05,,,1,2009
34,43.619,1,21,+1:06,,,Sastre Carlos,19,Cervelo Test Team,1:06 1:06,,,1,2009
28,43.583999999999996,161,22,+1:07,,,Karpets Vladimir,20,Team Katusha,1:07 1:07,,,1,2009
29,43.478,131,23,+1:10,,,Ballan Alessandro,21,Lampre - NGC,1:10 1:10,,,1,2009
26,43.478,77,24,+1:10,,,Monfort Maxime,22,Team Columbia - HTC,",, 1:10",,,1,2009
26,43.443000000000005,17,25,+1:11,,,Van den Broeck Jurgen,23,Silence - Lotto,1:11 1:11,,,1,2009
33,43.408,146,26,+1:12,,,Lefevre Laurent,24,Bbox Bouygues Telekom,1:12 1:12,,,1,2009
