Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
26,54.676,29,1*,+20:51,,,Zabriskie David,1*,CSC ProTeam,20:51 20:51,,,1,2005
33,54.589,1,2*,+20:53,,,Armstrong Lance,2*,Discovery Channel,20:53 20:53,,,1,2005
31,52.45399999999999,19,3,+21:44,50.0,,Vinokourov Alexandre,3,T-Mobile Team,21:44 21:44,,,1,2005
32,52.294,4,4*,+21:48,,,Hincapie George,4*,Discovery Channel,21:48 21:48,,,1,2005
28,52.214,102,5,+21:50,32.0,,Bodrogi Laszlo,5,Cr\xe9dit Agricole,21:50 21:50,,,1,2005
29,52.093999999999994,66,6,+21:53,26.0,,Landis Floyd,6,Phonak Hearing Systems,21:53 21:53,,,1,2005
24,52.093999999999994,71,7,+21:53,22.0,,Cancellara Fabian,7,Fassa Bortolo,",, 21:53",,,1,2005
33,52.015,28,8,+21:55,18.0,,Voigt Jens,8,CSC ProTeam,21:55 21:55,,,1,2005
24,51.976000000000006,37,9,+21:56,14.0,,Karpets Vladimir,9,Illes Balears - Caisse d'Epargne,21:56 21:56,,,1,2005
31,51.93600000000001,95,10,+21:57,10.0,,Gonzalez De Galdeano Igor,10,Liberty Seguros - W\xfcrth Team,21:57 21:57,,,1,2005
33,51.897,23,11,+21:58,8.0,,Julich Bobby,11,CSC ProTeam,21:58 21:58,,,1,2005
31,51.857,11,12,+21:59,6.0,,Ullrich Jan,12,T-Mobile Team,21:59 21:59,,,1,2005
31,51.701,63,13,+22:03,4.0,,Gutierrez Jose Enrique,13,Phonak Hearing Systems,22:03 22:03,,,1,2005
31,51.662,164,14*,+22:04,,,Leipheimer Levi,14*,Gerolsteiner,22:04 22:04,,,1,2005
35,51.662,165,15,+22:04,1.0,,Rich Michael,15,Gerolsteiner,",, 22:04",,,1,2005
32,51.545,8,16,+22:07,,,Rubiera Jos\xe9 Luis,16,Discovery Channel,22:07 22:07,,,1,2005
25,51.467,7,17,+22:09,,,Popovych Yaroslav,17,Discovery Channel,22:09 22:09,,,1,2005
29,51.236000000000004,171,18,+22:15,,,McGee Bradley,18,Fran\xe7aise des Jeux,22:15 22:15,,,1,2005
36,51.198,58,19,+22:16,,,Wauters Marc,19,Rabobank ProTeam,22:16 22:16,,,1,2005
27,51.159,21,20,+22:17,,,Basso Ivan,20,CSC ProTeam,22:17 22:17,,,1,2005
25,51.121,163,21,+22:18,,,Lang Sebastian,21,Gerolsteiner,22:18 22:18,,,1,2005
26,51.083,5,22,+22:19,,,Noval Benjamin,22,Discovery Channel,22:19 22:19,,,1,2005
28,51.007,64,23,+22:21,,,Hunter Robert,23,Phonak Hearing Systems,22:21 22:21,,,1,2005
32,51.007,142,24,+22:21,,,Beneteau Walter,24,Bouygues Telecom,",, 22:21",,,1,2005
32,51.007,61,25,+22:21,,,Botero Santiago,25,Phonak Hearing Systems,",, 22:21",,,1,2005
28,51.007,25,26,+22:21,,,Roberts Luke,26,CSC ProTeam,",, 22:21",,,1,2005
30,50.968999999999994,62,27,+22:22,,,Grabsch Bert,27,Phonak Hearing Systems,22:22 22:22,,,1,2005
30,50.931000000000004,22,28,+22:23,,,Arvesen Kurt-Asle,28,CSC ProTeam,22:23 22:23,,,1,2005
30,50.931000000000004,26,29,+22:23,,,Sastre Carlos,29,CSC ProTeam,",, 22:23",,,1,2005
31,50.855,76,30,+22:25,,,Frigo Dario,30,Fassa Bortolo,22:25 22:25,,,1,2005
34,50.855,6,31,+22:25,,,Padrnos Pavel,31,Discovery Channel,",, 22:25",,,1,2005
32,50.817,9,32,+22:26,,,Savoldelli Paolo,32,Discovery Channel,22:26 22:26,,,1,2005
21,50.667,97,33,+22:30,,,Sanchez Luis Leon,33,Liberty Seguros - W\xfcrth Team,22:30 22:30,,,1,2005
31,50.667,2,34,+22:30,,,Azevedo Jos\xe9 Bento Carvalho,34,Discovery Channel,",, 22:30",,,1,2005
28,50.592,44,35,+22:32,,,Evans Cadel,35,Davitamon - Lotto,22:32 22:32,,,1,2005
30,50.405,115,36,+22:37,,,Cioni Dario,36,Liquigas,22:37 22:37,,,1,2005
21,50.405,185,37,+22:37,,,Grivko Andrei,37,Domina Vacanze,",, 22:37",,,1,2005
27,50.331,166,38,+22:39,,,Scholz Ronny,38,Gerolsteiner,22:39 22:39,,,1,2005
34,50.331,181,39,+22:39,,,Honchar Serhiy,39,Domina Vacanze,",, 22:39",,,1,2005
24,50.294,131,40,+22:40,,,Boonen Tom,40,Quickstep - Innergetic,22:40 22:40,,,1,2005
34,50.257,101,41,+22:41,,,Moreau Christophe,41,Cr\xe9dit Agricole,22:41 22:41,,,1,2005
31,50.257,121,42,+22:41,,,O'Grady Stuart,42,Cofidis,",, 22:41",,,1,2005
34,50.257,134,43,+22:41,,,Knaven Servais,43,Quickstep - Innergetic,",, 22:41",,,1,2005
27,50.22,75,44,+22:42,,,Flecha Juan Antonio,44,Fassa Bortolo,22:42 22:42,,,1,2005
25,50.147,135,45,+22:44,,,Rogers Michael,45,Quickstep - Innergetic,22:44 22:44,,,1,2005
27,50.073,51,46,+22:46,,,Menchov Denis,46,Rabobank ProTeam,22:46 22:46,,,1,2005
25,50.073,72,47,+22:46,,,Bernucci Lorenzo,47,Fassa Bortolo,",, 22:46",,,1,2005
22,50.0,93,48,+22:48,,,Contador Alberto,48,Liberty Seguros - W\xfcrth Team,22:48 22:48,,,1,2005
23,49.891000000000005,74,49,+22:51,,,Facci Mauro,49,Fassa Bortolo,22:51 22:51,,,1,2005
26,49.891000000000005,207,50,+22:51,,,Krivtsov Yuriy,50,AG2R Pr\xe9voyance,",, 22:51",,,1,2005
30,49.854,14,51,+22:52,,,Kl\xf6den Andr\xe9as,51,T-Mobile Team,22:52 22:52,,,1,2005
30,49.854,27,52,+22:52,,,S\xf8rensen Nicki,52,CSC ProTeam,",, 22:52",,,1,2005
33,49.854,86,53,+22:52,,,Horner Chris,53,Saunier Duval - Prodir,",, 22:52",,,1,2005
