Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
26,,114,8.0,+0:34,50.0,Mollema Bauke,1,Blanco Pro Cycling Team,2:43:00 2:43:00,6.0,2,2013
26,,73,3.0,+0:05,30.0,Frank Mathias,2,BMC Racing Team,0:11 0:11,4.0,2,2013
23,,166,5.0,+0:16,18.0,Pinot Thibaut,3,FDJ.fr,",, 0:11",2.0,2,2013
32,,62,2.0,+0:03,13.0,Hesjedal Ryder,4,Garmin Sharp,",, 0:11",1.0,2,2013
30,,191,21.0,+0:56,10.0,Tschopp Johann,5,IAM Cycling,",, 0:11",1.0,2,2013
26,,64,12.0,+0:42,7.0,Martin Daniel,6,Garmin Sharp,",, 0:11",,2,2013
27,,121,6.0,+0:28,4.0,Kreuziger Roman,7,Team Saxo - Tinkoff,",, 0:11",,2,2013
33,,96,15.0,+0:44,3.0,Scarponi Michele,8,Lampre - Merida,",, 0:11",,2,2013
30,,8,4.0,+0:12,2.0,Visconti Giovanni,9,Movistar Team,0:19 0:19,,2,2013
30,,87,10.0,+0:36,1.0,Pozzovivo Domenico,10,AG2R La Mondiale,",, 0:19",,2,2013
23,,91,14.0,+0:43,,Ulissi Diego,11,Lampre - Merida,0:24 0:24,,2,2013
22,,107,7.0,+0:34,,Moser Moreno,12,Cannondale Pro Cycling Team,",, 0:24",,2,2013
25,,137,1.0,+0:00,,Meyer Cameron,13,Orica GreenEDGE,0:27 0:27,,2,2013
26,,1,11.0,+0:40,,Costa Rui,14,Movistar Team,",, 0:27",,2,2013
29,,51,13.0,+0:42,,Brajkovi\u010d Janez,15,Astana Pro Team,",, 0:27",,2,2013
26,,21,28.0,+1:09,,Spilak Simon,16,Team Katusha,0:29 0:29,,2,2013
36,,81,17.0,+0:47,,Peraud Jean-Christophe,17,AG2R La Mondiale,",, 0:29",,2,2013
22,,12,20.0,+0:56,,Dombrowski Joe,18,Sky Procycling,",, 0:29",,2,2013
30,,151,31.0,+1:22,,Anton Igor,19,Euskaltel - Euskadi,0:36 0:36,,2,2013
24,,197,18.0,+0:48,,Reichenbach Sebastien,20,IAM Cycling,",, 0:36",,2,2013
26,,198,29.0,+1:18,,Wyss Marcel,21,IAM Cycling,0:38 0:38,,2,2013
22,,112,19.0,+0:53,,Kelderman Wilco,22,Blanco Pro Cycling Team,",, 0:38",,2,2013
26,,56,16.0,+0:45,,Kangert Tanel,23,Astana Pro Team,0:40 0:40,,2,2013
29,,52,9.0,+0:35,,Dyachenko Alexandr,24,Astana Pro Team,",, 0:40",,2,2013
24,,78,22.0,+0:58,,van Garderen Tejay,25,BMC Racing Team,",, 0:40",,2,2013
29,,196,27.0,+1:06,,L\xf6fkvist Thomas,26,IAM Cycling,0:44 0:44,,2,2013
28,,126,25.0,+1:02,,Roche Nicolas,27,Team Saxo - Tinkoff,0:52 0:52,,2,2013
20,,13,32.0,+1:28,,Edmondson Joshua,28,Sky Procycling,",, 0:52",,2,2013
26,,82,23.0,+0:58,,Bouet Maxime,29,AG2R La Mondiale,",, 0:52",,2,2013
26,,2,24.0,+1:02,,Amador Andrey,30,Movistar Team,0:55 0:55,,2,2013
27,,203,33.0,+1:30,,Feillu Brice,31,Sojasun,1:08 1:08,,2,2013
34,,157,26.0,+1:04,,Verdugo Gorka,32,Euskaltel - Euskadi,1:15 1:15,,2,2013
30,,34,30.0,+1:18,,Monfort Maxime,33,RadioShack - Leopard,1:20 1:20,,2,2013
29,,115,34.0,+1:46,,Nordhaug Lars Petter,34,Blanco Pro Cycling Team,",, 1:20",,2,2013
30,,22,35.0,+1:48,,Gusev Vladimir,35,Team Katusha,1:29 1:29,,2,2013
29,,117,37.0,+2:37,,Sanchez Luis Leon,36,Blanco Pro Cycling Team,2:05 2:05,,2,2013
31,,75,36.0,+2:16,,Moinard Ama\xebl,37,BMC Racing Team,2:16 2:16,,2,2013
26,,111,42.0,+3:12,,Kruijswijk Steven,38,Blanco Pro Cycling Team,2:41 2:41,,2,2013
25,,102,39.0,+3:04,,Caruso Damiano,39,Cannondale Pro Cycling Team,",, 2:41",,2,2013
29,,86,38.0,+2:50,,Montaguti Matteo,40,AG2R La Mondiale,",, 2:41",,2,2013
30,,27,45.0,+3:24,,Vorganov Eduard,41,Team Katusha,",, 2:41",,2,2013
