Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
31,,55,+0:58,30.0,Stoyanov Plamen,1,,4:39:15 4:39:15,1,2003
27,,3,+0:10,18.0,McGee Bradley,2,Fdjeux.com,",, ,,",1,2003
30,,75,+1:15,12.0,Beneteau Walter,3,Brioches La Boulang\xe8re,",, ,,",1,2003
31,,43,+0:51,7.0,Sivakov Alexei,4,,",, ,,",1,2003
25,,1,+0:00,4.0,Mayo Iban,5,Euskaltel - Euskadi,",, ,,",1,2003
20,,67,+1:04,3.0,Gilbert Philippe,6,Fdjeux.com,",, ,,",1,2003
32,,86,+1:28,2.0,Vasseur C\xe9dric,7,Cofidis,",, ,,",1,2003
29,,21,+0:37,1.0,Halgand Patrice,8,Jean Delatour,",, ,,",1,2003
30,,23,+0:38,,Chaurreau I\xf1igo,9,AG2R Pr\xe9voyance,",, ,,",1,2003
26,,2,+0:05,,Millar David,10,Cofidis,",, ,,",1,2003
27,,6,+0:15,,Mancebo Francisco,11,Ibanesto.com,",, ,,",1,2003
30,,49,+0:56,,Wadecki Piotr,12,Quickstep - Davitamon,",, ,,",1,2003
29,,7,+0:15,,Leipheimer Levi,13,Rabobank ProTeam,",, ,,",1,2003
24,,29,+0:41,,Mercado Juan Miguel,14,Ibanesto.com,",, ,,",1,2003
25,,11,+0:25,,Menchov Denis,15,Ibanesto.com,",, ,,",1,2003
37,,39,+0:48,,Ekimov Viatcheslav,16,US Postal Service,",, ,,",1,2003
34,,19,+0:37,,Dufaux Laurent,17,Alessio,",, ,,",1,2003
32,,18,+0:36,,Rous Didier,18,Brioches La Boulang\xe8re,",, ,,",1,2003
25,,71,+1:07,,Talabardon S\xe9bastien,19,,",, ,,",1,2003
33,,53,+0:57,,Virenque Richard,20,Quickstep - Davitamon,",, ,,",1,2003
33,,25,+0:39,,Bouvard Gilles,21,Jean Delatour,",, ,,",1,2003
26,,22,+0:37,,Flores Iker,22,Euskaltel - Euskadi,",, ,,",1,2003
31,,50,+0:56,,van de Wouwer Kurt,23,Quickstep - Davitamon,",, ,,",1,2003
34,,33,+0:44,,Garc\xeda Felix Manuel,24,,",, ,,",1,2003
27,,78,+1:18,,Martinez Miguel,25,Phonak Hearing Systems,",, ,,",1,2003
31,,4,+0:11,,Armstrong Lance,26,US Postal Service,",, ,,",1,2003
24,,91,+1:33,,Frattini Davide,27,Alessio,",, ,,",1,2003
